id,accession,organism,collection_date,country,host,isolation_source,coded_by,protein_id,taxon_id,isolate
1358,BBO58785.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506831.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/06.2014-0375
1359,BBO58784.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506830.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/06.2014-0371
1360,BBO58783.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506829.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/06.2014-0370
1361,BBO58782.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506828.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/06.2014-0297
1362,BBO58781.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506827.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/06.2014-0296
1363,BBO58780.1,Human coronavirus OC43,2014-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506826.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/05.2014-0285
1364,BBO58779.1,Human coronavirus OC43,2014-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506825.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/04.2014-0225
1365,BBO58778.1,Human coronavirus OC43,2014-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506824.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/03.2014-0174
1366,BBO58777.1,Human coronavirus OC43,2013-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506823.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.2013-0666
1367,BBO58776.1,Human coronavirus OC43,2013-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506822.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/10.2013-0627
1368,BBO58775.1,Human coronavirus OC43,2013-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506821.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/08.2013-0498
1369,QBP84759.1,Human coronavirus OC43,,,,,MK327281.1:23620..27708,1,655,MDS15
1370,QBQ01839.1,Human coronavirus OC43,,,,,MK303625.1:23620..27708,1,655,MDS16
1371,QBP84749.1,Human coronavirus OC43,,,,,MK303624.1:23620..27696,1,655,MDS14
1372,QBP84740.1,Human coronavirus OC43,,,,,MK303623.1:23620..27696,1,655,MDS12
1373,QBP84731.1,Human coronavirus OC43,,,,,MK303622.1:23620..27696,1,655,MDS11
1374,QBP84722.1,Human coronavirus OC43,,,,,MK303621.1:23620..27696,1,655,MDS4
1375,QBP84713.1,Human coronavirus OC43,,,,,MK303620.1:23620..27696,1,655,MDS2
1376,QBP84704.1,Human coronavirus OC43,,,,,MK303619.1:23620..27696,1,655,MDS6
1377,ANZ78849.1,Human coronavirus OC43,2014-01-01 00:00:00,China: Shenzhen,Homo sapiens,sputum,KU745548.1:1..4077,1,655,SZ14014d3/2014
1378,ANZ78848.1,Human coronavirus OC43,2014-01-01 00:00:00,China: Harbin,Homo sapiens,sputum,KU745547.1:1..4077,1,655,HB14018d7/2014
1379,ANZ78847.1,Human coronavirus OC43,2015-07-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745546.1:1..4089,1,655,4467A/2015
1380,ANZ78846.1,Human coronavirus OC43,2015-06-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745545.1:1..4077,1,655,4452A/2015
1381,ANZ78845.1,Human coronavirus OC43,2015-06-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745544.1:1..4077,1,655,4450A/2015
1382,ANZ78844.1,Human coronavirus OC43,2015-06-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745543.1:1..4077,1,655,4449A/2015
1383,ANZ78843.1,Human coronavirus OC43,2015-06-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745542.1:1..4095,1,655,4446A/2015
1384,ANZ78842.1,Human coronavirus OC43,2015-05-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745541.1:1..4089,1,655,4436A/2015
1385,ANZ78841.1,Human coronavirus OC43,2015-04-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745540.1:1..4089,1,655,4400A/2015
1386,ANZ78840.1,Human coronavirus OC43,2014-04-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745539.1:1..4077,1,655,4086A/2014
1387,ANZ78839.1,Human coronavirus OC43,2014-04-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745538.1:1..4077,1,655,4068A/2014
1388,ANZ78838.1,Human coronavirus OC43,2013-08-01 00:00:00,China: Beijing,Homo sapiens,nasopharyngeal aspirate,KU745537.1:1..4077,1,655,3791A/2013
1389,ANZ78837.1,Human coronavirus OC43,2014-05-01 00:00:00,China: Beijing,Homo sapiens,nasal and throat swab,KU745536.1:1..4077,1,655,14012/2014
1390,ANZ78836.1,Human coronavirus OC43,2014-05-01 00:00:00,China: Beijing,Homo sapiens,nasal and throat swab,KU745535.1:1..4077,1,655,14007/2014
1391,ANZ78835.1,Human coronavirus OC43,2014-04-01 00:00:00,China: Beijing,Homo sapiens,nasal and throat swab,KU745534.1:1..4077,1,655,13969/2014
1392,ANZ78834.1,Human coronavirus OC43,2014-04-01 00:00:00,China: Beijing,Homo sapiens,nasal and throat swab,KU745533.1:1..4077,1,655,13963/2014
1393,YP_009555241.1,Human coronavirus OC43,,USA,,,NC_006213.1:23643..27704,1,655,ATCC VR-759
1394,AZP73840.1,Human coronavirus OC43,2016-12-19 00:00:00,"USA: Little Rock, Arkansas",Homo sapiens,nasopharyngeal swab,MH121121.1:23649..27725,1,655,HCoV-OC43/USA/ACRI_0213/2016
1395,AXX83381.1,Human coronavirus OC43,2016-06-20 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197723.1:23573..27649,1,655,HZ-459
1396,AXX83375.1,Human coronavirus OC43,2015-12-02 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197722.1:23531..27607,1,655,YC-207
1397,AXX83369.1,Human coronavirus OC43,2015-06-13 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197721.1:23541..27629,1,655,YC-72
1398,AXX83363.1,Human coronavirus OC43,2015-06-05 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197720.1:23554..27642,1,655,YC-68
1399,AXX83357.1,Human coronavirus OC43,2015-06-04 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197719.1:23533..27621,1,655,YC-67
1400,AXX83351.1,Human coronavirus OC43,2015-03-12 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197718.1:23544..27632,1,655,YC-55
1401,AXX83345.1,Human coronavirus OC43,2015-07-06 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197717.1:23562..27638,1,655,WZ-522
1402,AXX83339.1,Human coronavirus OC43,2015-06-06 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197716.1:23565..27641,1,655,WZ-303
1403,AXX83333.1,Human coronavirus OC43,2015-05-21 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197715.1:23565..27641,1,655,GZYF-26
1404,AXX83327.1,Human coronavirus OC43,2015-07-13 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197714.1:23562..27650,1,655,CC-23
1405,AXX83321.1,Human coronavirus OC43,2015-08-14 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197713.1:23552..27628,1,655,BJ-221
1406,AXX83315.1,Human coronavirus OC43,2015-06-09 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197712.1:23544..27620,1,655,BJ-165
1407,AXX83309.1,Human coronavirus OC43,2015-06-09 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197711.1:23552..27640,1,655,BJ-164
1408,AXX83303.1,Human coronavirus OC43,2015-05-06 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197710.1:23545..27621,1,655,BJ-124
1409,AXX83297.1,Human coronavirus OC43,2015-04-22 00:00:00,China,,throat swabs or nasopharyngeal aspirates,MG197709.1:23548..27636,1,655,BJ-112
1410,AWW13575.1,Human coronavirus OC43,2016-12-10 00:00:00,Cote d'Ivoire,Homo sapiens,,MG977452.1:23628..27707,1,655,TNP 12643
1411,AWW13566.1,Human coronavirus OC43,2016-12-10 00:00:00,Cote d'Ivoire,Homo sapiens,,MG977451.1:23646..27725,1,655,TNP 12636
1412,AWW13559.1,Human coronavirus OC43,2016-12-30 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977450.1:23473..27573,1,655,TNP F1835_2
1413,AWW13551.1,Human coronavirus OC43,2016-12-28 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977449.1:23645..27724,1,655,TNP F1834_2
1414,AWW13543.1,Human coronavirus OC43,2016-12-27 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977448.1:23463..27542,1,655,TNP F1833_2
1415,AWW13535.1,Human coronavirus OC43,2016-12-26 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977447.1:23629..27708,1,655,TNP F1832_2
1416,AWW13527.1,Human coronavirus OC43,2016-01-01 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977446.1:23433..27533,1,655,TNP F1791_2
1417,AWW13519.1,Human coronavirus OC43,2016-12-31 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977445.1:23603..27682,1,655,TNP F1790_2
1418,AWW13511.1,Human coronavirus OC43,2017-01-04 00:00:00,Cote d'Ivoire,Pan troglodytes verus,,MG977444.1:23508..27587,1,655,TNP F1778_2
1419,BBA20982.1,Human coronavirus OC43,2016-01-01 00:00:00,Japan: Tokyo,,nasal swab using HBTE-ALI cells,LC315649.1:163..4251,1,655,Tokyo/SGH-65/2016
1420,BBA20979.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan: Tokyo,,nasal swab using HBTE-ALI cells,LC315648.1:1531..5607,1,655,Tokyo/SGH-06/2015
1421,BBA20976.1,Human coronavirus OC43,2014-01-01 00:00:00,Japan: Tokyo,,nasal swab using HBTE-ALI cells,LC315647.1:906..4982,1,655,Tokyo/SGH-61/2014
1422,BBA20973.1,Human coronavirus OC43,2014-01-01 00:00:00,Japan: Tokyo,,nasal swab using HBTE-ALI cells,LC315646.1:1531..5607,1,655,Tokyo/SGH-36/2014
1423,AVQ05264.1,Human coronavirus OC43,2016-03-07 00:00:00,"USA: Little Rock, Arkansas",Homo sapiens,nasopharyngeal swab,MF314143.1:23641..27729,1,655,HCoV-OC43/USA/ACRI_0052/2016
1424,AVR40344.1,Human coronavirus OC43,2017-01-17 00:00:00,"USA: Albuquerque, New Mexico",Homo sapiens,nasopharyngeal swab,MF374985.2:23642..27724,1,655,HCoV-OC43/USA/TCNP_00212/2017
1425,AVR40342.1,Human coronavirus OC43,2016-02-01 00:00:00,"USA: Albuquerque, New Mexico",Homo sapiens,nasopharyngeal swab,MF374983.2:23647..27723,1,655,HCoV-OC43/USA/TCNP_0070/2016
1426,BBA84111.1,Human coronavirus OC43,2016-07-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331093.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/27.16-1096
1427,BBA84110.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331092.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/26.16-1046
1428,BBA84109.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331091.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/25.16-1044
1429,BBA84108.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331090.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/24.16-1002
1430,BBA84107.1,Human coronavirus OC43,2016-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331089.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/20.16-0885
1431,BBA84106.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331088.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/26.16-1049
1432,BBA84105.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331087.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/24.16-1027
1433,BBA84104.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331086.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/24.16-1008
1434,BBA84103.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331085.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/24.16-1006
1435,BBA84102.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331084.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/24.16-1005
1436,BBA84101.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331083.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/23.16-0980
1437,BBA84100.1,Human coronavirus OC43,2016-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331082.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/22.16-0950
1438,BBA84099.1,Human coronavirus OC43,2016-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331081.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/20.16-0914
1439,BBA84098.1,Human coronavirus OC43,2016-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331080.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/14.16-0684
1440,BBA84097.1,Human coronavirus OC43,2016-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331079.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/11.16-0552
1441,BBA84096.1,Human coronavirus OC43,2015-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331078.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.15-0615
1442,BBA84095.1,Human coronavirus OC43,2015-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331077.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.15-0612
1443,BBA84094.1,Human coronavirus OC43,2015-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331076.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/10.15-0600
1444,BBA84093.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331075.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.15-0350
1445,BBA84092.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331074.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.15-0248
1446,BBA84091.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331073.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.15-0234
1447,BBA84090.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331072.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.15-0214
1448,BBA84089.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331071.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.15-0087
1449,BBA84088.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331070.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/02.15-0083
1450,BBA84087.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331069.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/02.15-0076
1451,BBA84086.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC331068.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/02.15-0022
1452,ATP16767.1,Human coronavirus OC43,2007-01-01 00:00:00,France,Homo sapiens,,KY014282.1:23611..27699,1,655,2007-09
1453,ATP16757.1,Human coronavirus OC43,2002-01-01 00:00:00,France,Homo sapiens,,KY014281.1:23558..27628,1,655,2002-04
1454,ATN39872.1,Human coronavirus OC43,2017-01-03 00:00:00,"USA: Albuquerque, New Mexico",Homo sapiens,nasopharyngeal swab,MF374984.1:23632..27720,1,655,HCoV-OC43/USA/TCNP_00204/2017
1455,ARE30017.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY554975.1:23640..27716,1,655,N09-382B
1456,ARE30008.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY554974.1:23640..27716,1,655,N08-33B_360X
1457,ARE29999.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY554973.1:23640..27716,1,655,N07-1689B_116X
1458,ARE29990.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY554972.1:23640..27716,1,655,N07-1541B_433X
1459,ARB66071.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447790.1:<1..>2455,1,655,guangzhou/2013/15
1460,ARB66070.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447789.1:<1..>2455,1,655,guangzhou/2013/14
1461,ARB66069.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447787.1:<1..>2455,1,655,guangzhou/2013/12
1462,ARB66068.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447786.1:<1..>2455,1,655,guangzhou/2013/11
1463,ARB66067.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447785.1:<1..>2455,1,655,guangzhou/2013/10
1464,ARB66066.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447784.1:<1..>2455,1,655,guangzhou/2013/09
1465,ARB66065.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447783.1:<1..>2470,1,655,guangzhou/2013/08
1466,ARB66064.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447781.1:<1..>2455,1,655,guangzhou/2014/06
1467,ARB66063.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447779.1:<1..>2455,1,655,guangzhou/2014/04
1468,ARB66062.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447778.1:<1..>2470,1,655,guangzhou/2014/03
1469,ARB66061.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447777.1:<1..>2455,1,655,guangzhou/2013/02
1470,ARB66060.1,Human coronavirus OC43,,China,Homo sapiens,nasopharyngeal swab,KX447776.1:<1..>2455,1,655,guangzhou/2013/01
1471,ARB07433.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY674920.1:23548..27624,1,655,N09-595B
1472,ARB07420.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY674918.1:23602..27678,1,655,N07-1647B
1473,ARB07414.1,Human coronavirus OC43,2016-01-01 00:00:00,USA,Homo sapiens,,KY674917.1:23621..27697,1,655,N07-1609B
1474,AQN78776.1,Human coronavirus OC43,2013-02-15 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538979.1:23640..27716,1,655,MY-U1975/13
1475,AQN78768.1,Human coronavirus OC43,2013-01-02 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538978.1:23640..27716,1,655,MY-U1758/13
1476,AQN78760.1,Human coronavirus OC43,2012-09-10 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538977.1:23640..27719,1,655,MY-U1140/12
1477,AQN78752.1,Human coronavirus OC43,2012-08-27 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538976.1:23640..27716,1,655,MY-U1057/12
1478,AQN78744.1,Human coronavirus OC43,2012-08-24 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538975.1:23640..27719,1,655,MY-U1024/12
1479,AQN78736.1,Human coronavirus OC43,2012-08-01 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538974.1:23640..27719,1,655,MY-U945/12
1480,AQN78728.1,Human coronavirus OC43,2012-07-16 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538973.1:23640..27719,1,655,MY-U868/12
1481,AQN78720.1,Human coronavirus OC43,2012-07-04 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538972.1:23640..27716,1,655,MY-U774/12
1482,AQN78712.1,Human coronavirus OC43,2012-06-25 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538971.1:23640..27719,1,655,MY-U732/12
1483,AQN78704.1,Human coronavirus OC43,2012-06-20 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538970.1:23640..27716,1,655,MY-U710/12
1484,AQN78696.1,Human coronavirus OC43,2012-05-18 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538969.1:23640..27719,1,655,MY-U523/12
1485,AQN78688.1,Human coronavirus OC43,2012-05-09 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538968.1:23640..27719,1,655,MY-U464/12
1486,AQN78680.1,Human coronavirus OC43,2012-05-02 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538967.1:23640..27719,1,655,MY-U413/12
1487,AQN78672.1,Human coronavirus OC43,2012-04-02 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538966.1:23640..27716,1,655,MY-U236/12
1488,AQN78664.1,Human coronavirus OC43,2012-03-28 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538965.1:23640..27719,1,655,MY-U208/12
1489,AQN78656.1,Human coronavirus OC43,2012-02-22 00:00:00,Malaysia: Kuala Lumpur,Homo sapiens,nasopharyngeal swab,KX538964.1:23640..27716,1,655,MY-U002/12
1490,AOL02453.1,Human coronavirus OC43,2011-02-09 00:00:00,Mexico,Homo sapiens; age: 2 months; sex: male,nasopharyngeal swab,KX344031.1:23640..27716,1,655,OC43/human/Mex/LRTI_238/2011
1491,ABD43183.1,Human coronavirus OC43,,France: Normandy,,,DQ355408.1:1..>2650,1,655,CaenVAC
1492,ABD43182.1,Human coronavirus OC43,,France: Normandy,,,DQ355407.1:1..>2650,1,655,CaenBUT
1493,ABD43181.1,Human coronavirus OC43,,France: Normandy,,,DQ355406.1:1..>2656,1,655,CaenVUO
1494,ABD43180.1,Human coronavirus OC43,,France: Normandy,,,DQ355405.1:1..>2656,1,655,CaenEYM
1495,ABD43179.1,Human coronavirus OC43,,France: Normandy,,,DQ355404.1:1..>2635,1,655,CaenVAL
1496,ABD43178.1,Human coronavirus OC43,,France: Normandy,,,DQ355403.1:1..>2650,1,655,CaenBEL
1497,ABD43177.1,Human coronavirus OC43,,France: Normandy,,,DQ355402.1:1..>2653,1,655,CaenTHS
1498,ABD43176.1,Human coronavirus OC43,,France: Normandy,,,DQ355401.1:1..>2626,1,655,ATCC VR759
1499,ACV60214.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647076.1:<1..>277,1,655,110103
1500,ACV60213.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647075.1:<1..>290,1,655,110094
1501,ACV60212.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647074.1:<1..>276,1,655,110093
1502,ACV60211.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647073.1:<1..>286,1,655,110088
1503,ACV60210.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647072.1:<1..>277,1,655,110086
1504,ACV60209.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647071.1:<1..>272,1,655,110084
1505,ACV60208.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647070.1:<1..>290,1,655,110077
1506,ACV60207.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647069.1:<1..>275,1,655,95406
1507,ACV60206.1,Human coronavirus OC43,2007-03-01 00:00:00,Sweden,Homo sapiens,,FJ647068.1:<1..>290,1,655,41802
1508,ACV60205.1,Human coronavirus OC43,2007-03-01 00:00:00,Sweden,Homo sapiens,,FJ647067.1:<1..>287,1,655,41769
1509,ACV60204.1,Human coronavirus OC43,2007-03-01 00:00:00,Sweden,Homo sapiens,,FJ647066.1:<1..>286,1,655,41698
1510,ACV60203.1,Human coronavirus OC43,2007-03-01 00:00:00,Sweden,Homo sapiens,,FJ647065.1:<1..>270,1,655,41687
1511,ACV60202.1,Human coronavirus OC43,2007-03-01 00:00:00,Sweden,Homo sapiens,,FJ647064.1:<1..>276,1,655,41651
1512,ACV60201.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647063.1:<1..>271,1,655,41638
1513,ACV60200.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647062.1:<1..>287,1,655,41610
1514,ACV60199.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647061.1:<1..>271,1,655,41600
1515,ACV60198.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647060.1:<1..>256,1,655,41598
1516,ACV60197.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647059.1:<1..>287,1,655,41553
1517,ACV60196.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647058.1:<1..>276,1,655,41491
1518,ACV60195.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647057.1:<1..>270,1,655,41368
1519,ACV60194.1,Human coronavirus OC43,2007-02-01 00:00:00,Sweden,Homo sapiens,,FJ647056.1:<1..>301,1,655,41334
1520,ACV60193.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647055.1:<1..>272,1,655,41241
1521,ACV60192.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647054.1:<1..>286,1,655,41206
1522,ACV60191.1,Human coronavirus OC43,2007-01-01 00:00:00,Sweden,Homo sapiens,,FJ647053.1:<1..>272,1,655,41149
